Player,Team,GP,Position,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#
"Ildefonso, Dave",ADMU,14,G,27.44,12.0,4.071428571428571,13.071428571428573,30.9,1.8571428571428572,7.428571428571429,25.0,2.0714285714285716,3.2142857142857144,64.44,2.2142857142857144,6.071428571428571,8.3,2.7,1.0,0.1,2.8,1.7,1
"Kouame, Ange",ADMU,14,C,27.3,11.6,4.642857142857143,8.428571428571429,54.8,0.5,1.0,50.0,2.0,3.7142857142857144,53.85,5.428571428571429,6.0,11.3,1.7,0.5,2.5,1.4,2.4,2
"Andrade, Bryan",ADMU,14,G,25.5,9.5,3.2142857142857144,8.857142857142858,36.2,1.7857142857142858,5.285714285714286,33.78,1.6428571428571428,1.7857142857142858,92.0,0.9285714285714286,1.8571428571428572,2.7,2.1,0.9,0.2,1.5,1.5,3
"Koon, Chris",ADMU,14,G,16.21,6.3,1.8571428571428572,4.928571428571429,40.8,0.7857142857142857,3.142857142857143,25.0,1.1428571428571428,1.6428571428571428,69.57,0.7142857142857143,2.7857142857142856,3.4,1.9,0.7,0.1,1.3,1.2,4
"Gomez, Vince",ADMU,12,G,14.15,3.4,1.1666666666666667,3.9166666666666665,30.6,0.8333333333333334,2.9166666666666665,28.57,0.25,0.5,50.0,0.08333333333333333,0.4166666666666667,0.7,2.0,0.5,0.0,1.3,1.2,5
"Lazaro, Joshua",ADMU,14,F,15.08,2.8,0.8571428571428571,3.285714285714286,25.0,0.0,0.21428571428571427,0.0,1.2857142857142858,2.2857142857142856,56.25,2.0714285714285716,3.142857142857143,4.9,0.4,0.5,0.2,0.8,2.1,6
"Chiu, Geo",ADMU,14,C,10.14,2.1,0.7142857142857143,1.7857142857142856,38.5,0.0,0.07142857142857142,0.0,0.7857142857142857,1.0714285714285714,73.33,1.4285714285714286,2.142857142857143,3.3,0.5,0.5,0.8,0.7,1.9,7
"Fornilos, Inand",ADMU,5,F,3.09,1.7,0.8,1.2,66.7,0.2,0.6,33.33,0.2,0.8,25.0,0.4,0.6,1.0,0.2,0.2,0.0,0.3,0.5,8
"Daves, Matt",ADMU,11,F,7.04,1.6,0.7272727272727273,1.6363636363636365,45.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,33.33,0.2727272727272727,0.8181818181818182,1.3,0.3,0.1,0.1,0.7,1.3,9
"Fetalvero, Jc",ADMU,4,G,3.25,0.6,0.25,1.25,20.0,0.25,1.25,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,10
"Ong, Kyle",ADMU,5,C,1.51,0.3,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.3,11
"Lao, Franz",ADMU,5,G,2.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.7,12
"Faye, Adama",UST,13,C,30.57,11.4,4.615384615384615,10.153846153846153,45.1,0.0,0.5384615384615384,0.0,2.1538461538461537,5.615384615384615,38.36,2.0,10.23076923076923,12.2,1.0,0.4,2.2,3.8,3.1,13
"Pangilinan, Miguel",UST,14,G,25.46,6.6,2.142857142857143,7.428571428571429,28.8,1.2142857142857142,4.357142857142857,27.87,1.0714285714285714,1.5714285714285714,68.18,1.8571428571428572,2.7857142857142856,4.6,1.4,0.9,0.1,1.6,2.2,15
"Lazarte, Ivan",UST,11,G,15.18,5.5,1.7272727272727273,6.090909090909092,28.4,0.5454545454545454,2.8181818181818183,19.35,1.5454545454545454,2.5454545454545454,60.71,1.1818181818181819,1.6363636363636365,2.8,0.8,0.8,0.0,0.5,1.3,17
"Manalang, Paul",UST,13,G,25.08,4.5,1.3076923076923077,6.769230769230769,19.3,0.8461538461538461,4.769230769230769,17.74,1.0769230769230769,1.3846153846153846,77.78,0.38461538461538464,2.3076923076923075,2.7,2.8,0.6,0.0,2.0,2.5,19
"Manaytay, Christian",UST,14,F,19.08,3.9,1.5714285714285714,4.214285714285714,37.3,0.0,0.5714285714285714,0.0,0.7857142857142857,1.7142857142857142,45.83,2.0,2.9285714285714284,4.9,1.4,0.9,0.3,1.9,2.6,21
